reporter,rca_cpcn,source,report_year,power_plant,net_generation_mwh,source_link
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2013,Southcentral Power Plant,376802,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=DB463FDA-6898-423D-BF38-C20023120BFA#page=108
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2013,Southcentral Power Plant,905129.1,
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2014,Southcentral Power Plant,392146,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=0A252686-158E-4826-96E9-5E516587C3DB#page=107
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2014,Southcentral Power Plant,909387.839,
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2015,Southcentral Power Plant,338331,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=178CFE27-E992-4494-8A29-AE35D09175F7#page=107
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2015,Southcentral Power Plant,867949.78,
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2016,Southcentral Power Plant,373982,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=B58723FB-390C-4354-829B-C2864A73E411#page=109
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2016,Southcentral Power Plant,873590.39,
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2017,Southcentral Power Plant,372998,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=CF2DD957-D66D-49BD-BA17-877B55DDA125#page=106
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2017,Southcentral Power Plant,866012.8,
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2018,Southcentral Power Plant,389111,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=90DE102F-97D7-43DF-8F21-013EB7F72CDF#page=107
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2018,Southcentral Power Plant,819405.99,
Anchorage Municipal Light & Power,121,FERC FORM NO. 1,2019,Southcentral Power Plant,386258.472,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=8a66f0b7-d5ee-4003-9bba-3c5085696ea3#page=108
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2019,Southcentral Power Plant,797907.6,
"Chugach Electric Association, Inc.",8,FERC FORM NO. 1,2020,Southcentral Power Plant,1125773.9,